,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
698,4082611,0,1,0,0,13,1,0,8,4,9,1,20,6
118,1505508,2,5,2,28,0,1,0,0,15,0,0,3,8
830,4635706,12,1,14,8,89,49,10,21,17,29,32,31,1
1773,8999141,0,0,0,0,0,0,0,0,0,0,0,0,0
1467,7562679,12,47,43,18,2,4,1,30,35,0,19,0,26
351,2522270,0,0,0,0,0,0,0,12,0,5,0,3,0
1984,9947440,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,6702224,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,9037014,0,0,0,0,0,0,0,0,0,0,0,164,0
252,2126093,0,0,0,0,0,4,0,0,0,0,0,0,4
2000,9996357,10,6,9,0,0,0,2,0,0,1,0,0,0
694,4067788,2,0,0,0,0,0,0,0,0,0,0,0,0
1257,6563658,41,29,10,31,64,7,36,7,17,19,13,17,22
1963,9845476,0,3,4,0,0,8,0,6,0,0,0,2,0
1121,5901032,0,0,0,0,0,0,0,0,0,0,0,0,0
1426,7394940,0,0,0,1,4,0,0,0,17,3,3,1,5
1566,8002271,11,32,15,18,11,50,13,95,48,16,18,30,27
834,4645266,0,0,0,0,0,1,0,0,0,0,0,0,0
799,4485119,10,1,0,1,1,0,18,5,1,8,16,1,3
479,3069157,8,3,10,7,1,7,18,7,2,2,7,5,43
1824,9221445,117,1,0,0,0,0,0,0,0,3,0,4,0
1730,8823444,0,0,0,0,0,0,0,0,15,7,31,65,28
1528,7845012,1,0,0,2,0,0,1,12,0,1,5,1,8
1403,7303422,1,0,0,0,1,0,0,0,4,0,0,0,0
236,2031083,0,0,0,0,1,0,0,0,0,8,0,0,1
502,3202372,11,8,16,3,2,0,3,4,2,0,0,0,3
1182,6206108,0,0,74,182,92,202,193,93,71,17,97,72,396
1569,8014535,0,0,0,0,2,5,0,0,0,0,0,0,0
245,2081286,2,0,0,7,2,4,0,0,0,0,1,0,8
473,3043285,0,0,0,0,0,0,0,0,0,0,0,0,2
1859,9415571,0,0,0,0,0,0,0,0,0,0,3,0,0
187,1813043,0,8,4,0,44,7,22,7,0,0,8,0,0
1804,9131181,4,1,3,0,21,10,16,0,0,4,0,0,0
64,1244291,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2113195,2,13,7,2,28,12,0,0,1,25,0,52,11
598,3618823,2,8,52,9,3,0,18,10,0,7,6,13,0
1739,8875176,0,0,0,0,0,5,1,0,11,0,0,3,34
674,3986132,0,16,0,0,2,0,0,0,0,0,2,0,7
763,4347238,9,5,3,1,3,5,1,3,3,11,5,7,7
1890,9567470,0,0,1,2,1,0,16,2,0,0,1,1,0
1089,5783805,0,0,0,9,0,0,8,7,0,3,0,0,0
1052,5587256,0,0,10,9,10,9,11,1,7,1,3,0,17
695,4068592,0,3,3,0,0,0,0,0,0,0,0,0,5
39,1134743,0,30,0,0,0,0,0,0,0,0,0,0,0
299,2318820,0,1,6,8,2,0,1,0,25,113,6,1,28
175,1753248,208,126,655,93,144,189,27,129,333,408,66,61,47
406,2719917,0,0,0,0,0,0,0,0,0,0,0,0,0
334,2438792,3,0,0,0,4,2,0,1,6,0,0,0,0
1838,9328504,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1435341,266,139,338,149,147,120,134,173,94,124,34,79,431
293,2309184,29,19,52,9,5,70,0,0,12,6,0,75,12
134,1594729,71,39,10,22,68,16,98,42,68,42,77,11,68
609,3675044,0,0,2,0,0,0,0,0,0,0,0,0,0
1542,7910452,0,0,0,0,0,0,0,0,0,0,0,0,0
603,3653787,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,9120722,0,0,0,0,0,0,0,0,0,0,0,0,0
886,4893343,110,89,13,19,49,143,30,105,108,239,32,239,1161
642,3841595,0,3,0,0,0,0,1,1,0,0,0,0,7
99,1425811,47,19,86,27,44,8,119,103,66,72,16,26,274
695,4068592,0,0,0,0,0,0,0,0,5,0,0,0,4
966,5228277,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1150412,49,32,28,130,78,85,3,11,156,77,21,78,48
319,2375746,6,158,87,132,162,442,164,67,72,253,1,13,215
980,5284470,0,0,0,0,0,0,0,0,0,0,0,0,0
470,3007306,156,136,187,211,364,93,100,458,165,337,252,163,574
1613,8249490,0,0,0,0,0,0,0,0,0,0,0,0,0
1341,7000081,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,7218790,0,0,0,1,0,0,0,0,0,0,0,0,0
566,3465529,0,0,0,0,0,0,0,0,0,0,0,0,0
720,4195300,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,6661377,3,6,2,0,0,0,0,0,0,0,0,0,0
273,2211812,4,6,23,0,88,96,32,44,42,2,11,1,95
812,4558448,0,0,0,0,0,0,0,0,0,0,0,1,0
1196,6290270,0,0,0,0,0,0,0,0,0,0,0,0,0
1741,8880895,9,0,0,0,0,4,1,0,2,1,0,0,5
518,3245509,0,7,88,19,15,10,28,36,41,2,12,6,8
108,1451530,0,0,0,6,0,0,0,0,0,0,0,0,0
1918,9662286,0,0,0,0,0,0,0,0,0,0,0,0,18
1247,6518930,0,0,0,0,0,0,0,0,0,8,2,0,3
1167,6161283,0,0,6,0,0,0,0,0,40,22,0,10,42
267,2185759,37,21,2,105,56,2,12,39,40,5,17,33,73
1945,9795853,0,0,0,0,0,0,0,0,0,0,0,0,0
753,4316509,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1566813,1,1,21,8,2,3,5,4,12,2,6,4,0
570,3495905,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,6954110,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,9715817,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,8793285,0,0,0,0,0,5,6,1,10,12,5,0,14
330,2423230,0,34,3,6,22,16,31,49,19,18,29,14,2
142,1624400,12,16,22,0,4,0,1,5,27,0,0,6,36
1563,7984427,0,0,0,49,353,56,58,293,149,5,156,90,235
1047,5551628,0,0,0,1,10,9,0,0,0,0,0,0,0
19,1067115,441,257,99,112,284,97,233,119,239,82,80,132,158
1091,5784432,0,0,0,0,0,7,0,3,3,1,1,0,0
226,1986443,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,6807332,0,1,0,0,9,0,45,0,0,0,0,0,0
1246,6511978,0,0,0,0,0,0,0,0,0,0,0,0,10
285,2259663,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1031165,38,36,24,26,37,24,25,34,49,209,70,125,166
1506,7764473,0,5,0,0,0,0,0,4,0,0,0,0,1
703,4102606,0,0,0,0,0,0,0,0,0,0,0,0,0
509,3224600,1,0,0,0,0,20,12,12,4,4,0,13,15
989,5321941,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,7003826,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,9937452,9,38,2,0,0,0,0,0,0,0,0,0,0
953,5177389,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,6365641,0,0,0,0,0,0,0,0,0,0,0,0,0
